Extension_ID,Week,Permissions_Count,Network_Requests,Cookie_Access,API_Calls,Label
ext_754,1,3,7,0,13,Normal
ext_792,1,5,2,1,7,Normal
ext_195,2,5,19,0,40,Normal
ext_833,3,5,13,0,33,Normal
ext_928,2,2,13,0,22,Normal
ext_320,1,3,3,0,29,Normal
ext_467,1,5,8,0,34,Normal
ext_487,3,12,474,1,260,Suspicious
ext_691,1,1,1,0,23,Normal
ext_975,3,1,12,0,34,Normal
ext_266,2,2,8,0,43,Normal
ext_646,2,2,14,1,22,Normal
ext_801,4,1,7,0,25,Normal
ext_374,3,17,498,1,283,Suspicious
ext_317,3,4,20,1,14,Normal
ext_242,4,5,17,0,42,Normal
ext_697,1,2,4,1,10,Normal
ext_981,4,2,13,0,29,Normal
ext_710,1,5,8,0,48,Normal
ext_798,3,3,20,0,12,Normal
ext_545,1,1,8,0,37,Normal
ext_991,3,5,19,0,14,Normal
ext_880,1,5,0,0,36,Normal
ext_214,1,3,7,0,20,Normal
ext_187,4,1,17,0,13,Normal
ext_662,2,5,19,1,18,Normal
ext_830,2,3,14,1,12,Normal
ext_330,2,8,351,1,241,Suspicious
ext_702,1,1,20,0,19,Normal
ext_132,4,1,16,0,22,Normal
ext_319,4,5,18,1,20,Normal
ext_926,4,1,3,1,27,Normal
ext_520,4,1,20,0,8,Normal
ext_845,4,1,7,0,17,Normal
ext_243,4,3,14,0,9,Normal
ext_927,1,5,3,0,46,Normal
ext_195,4,2,5,1,36,Normal
ext_318,4,1,5,1,5,Normal
ext_371,4,4,9,1,49,Normal
ext_258,1,2,1,0,25,Normal
ext_151,1,5,16,0,8,Normal
ext_971,1,5,2,0,30,Normal
ext_683,3,5,1,0,31,Normal
ext_367,2,3,7,0,30,Normal
ext_787,4,4,10,0,5,Normal
ext_736,3,1,2,0,37,Normal
ext_235,2,1,7,0,23,Normal
ext_548,3,3,19,0,47,Normal
ext_779,2,2,8,0,11,Normal
ext_378,3,2,10,0,48,Normal
ext_617,1,1,2,1,22,Normal
ext_103,4,2,20,0,15,Normal
ext_664,2,5,0,0,9,Normal
ext_658,2,13,348,1,241,Suspicious
ext_540,2,3,11,0,27,Normal
ext_798,2,1,11,1,44,Normal
ext_342,3,2,13,0,16,Normal
ext_901,1,2,8,0,49,Normal
ext_491,3,4,7,0,34,Normal
ext_412,2,2,7,0,47,Normal
ext_508,4,1,8,0,46,Normal
ext_795,3,5,10,0,12,Normal
ext_282,4,3,1,0,43,Normal
ext_453,2,3,13,0,29,Normal
ext_360,2,14,50,1,233,Suspicious
ext_472,1,3,19,0,47,Normal
ext_837,4,5,9,1,25,Normal
ext_813,4,2,6,1,47,Normal
ext_793,1,2,19,0,30,Normal
ext_411,4,4,18,0,34,Normal
ext_552,1,5,15,0,47,Normal
ext_390,3,5,10,0,20,Normal
ext_330,4,2,0,0,20,Normal
ext_725,2,1,14,1,45,Normal
ext_835,1,4,12,0,14,Normal
ext_868,4,1,13,0,16,Normal
ext_151,3,1,14,0,34,Normal
ext_873,4,5,16,1,40,Normal
ext_262,3,4,14,0,20,Normal
ext_884,4,4,20,0,22,Normal
ext_179,1,2,8,0,25,Normal
ext_241,4,4,4,0,9,Normal
ext_517,4,4,13,0,18,Normal
ext_498,1,5,0,1,35,Normal
ext_460,2,4,13,0,36,Normal
ext_379,4,1,12,0,47,Normal
ext_841,1,4,4,0,30,Normal
ext_185,3,2,14,0,8,Normal
ext_488,3,4,10,0,29,Normal
ext_870,1,4,8,0,35,Normal
ext_867,1,3,7,0,46,Normal
ext_872,2,11,152,1,105,Suspicious
ext_344,3,1,18,0,34,Normal
ext_885,3,5,19,0,15,Normal
ext_210,2,3,18,1,30,Normal
ext_177,1,2,3,0,48,Normal
ext_915,3,1,11,1,47,Normal
ext_170,1,3,0,1,36,Normal
ext_543,3,4,4,1,16,Normal
ext_730,3,5,15,1,32,Normal
ext_430,4,1,8,1,20,Normal
ext_683,3,4,10,0,36,Normal
ext_286,3,3,8,0,22,Normal
ext_669,4,11,93,1,161,Suspicious
ext_600,1,2,15,1,33,Normal
ext_195,3,4,7,0,47,Normal
ext_584,4,3,13,0,27,Normal
ext_377,1,2,3,0,25,Normal
ext_860,3,2,6,0,35,Normal
ext_841,2,5,19,0,11,Normal
ext_403,2,2,9,0,50,Normal
ext_380,2,8,333,1,174,Suspicious
ext_753,3,4,3,0,41,Normal
ext_580,4,3,5,0,21,Normal
ext_216,1,4,15,0,41,Normal
ext_255,1,5,9,0,20,Normal
ext_671,4,5,19,0,38,Normal
ext_561,1,3,18,1,24,Normal
ext_724,1,1,6,0,21,Normal
ext_260,4,5,2,0,5,Normal
ext_561,3,4,9,0,19,Normal
ext_823,2,4,2,0,21,Normal
ext_535,2,2,20,0,22,Normal
ext_173,3,20,207,1,252,Suspicious
ext_549,4,3,12,0,37,Normal
ext_548,3,8,271,1,288,Suspicious
ext_718,3,1,7,0,48,Normal
ext_690,4,20,139,1,220,Suspicious
ext_384,4,5,13,1,10,Normal
ext_456,4,3,3,0,26,Normal
ext_810,1,4,17,0,34,Normal
ext_422,4,1,12,0,47,Normal
ext_523,4,16,235,1,259,Suspicious
ext_740,2,1,6,0,40,Normal
ext_394,2,4,3,0,45,Normal
ext_826,2,5,0,1,10,Normal
ext_961,3,4,3,0,36,Normal
ext_621,4,4,15,1,20,Normal
ext_664,3,2,19,0,9,Normal
ext_891,3,4,10,0,5,Normal
ext_843,4,5,18,1,14,Normal
ext_651,3,3,17,1,34,Normal
ext_990,4,2,18,1,19,Normal
ext_144,2,4,12,1,47,Normal
ext_607,4,2,16,0,11,Normal
ext_202,2,4,0,0,31,Normal
ext_176,1,3,10,1,46,Normal
ext_972,4,5,12,0,45,Normal
ext_993,3,5,2,0,45,Normal
ext_332,2,4,3,0,33,Normal
ext_810,3,1,1,0,8,Normal
ext_467,2,2,7,1,41,Normal
ext_274,2,5,12,0,36,Normal
ext_337,1,3,14,0,47,Normal
ext_923,4,3,17,0,9,Normal
ext_453,3,3,20,1,49,Normal
ext_567,2,2,12,1,11,Normal
ext_490,4,5,9,0,6,Normal
ext_381,1,18,448,1,290,Suspicious
ext_720,2,3,7,0,19,Normal
ext_735,1,2,20,0,45,Normal
ext_416,1,1,18,0,13,Normal
ext_402,3,4,5,0,13,Normal
ext_643,3,3,5,0,35,Normal
ext_864,2,1,14,0,14,Normal
ext_980,4,4,17,0,10,Normal
ext_114,3,1,14,0,48,Normal
ext_698,1,3,3,0,35,Normal
ext_734,1,5,10,0,46,Normal
ext_750,2,3,20,1,12,Normal
ext_146,2,3,15,0,11,Normal
ext_650,2,4,11,1,42,Normal
